occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
3.5,4.95,487,688.72,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,7.0
258.5,253.85,272403.5,306237.34,2.5,0.71,1.1242,0.982,0.2828,MICROSOFT-CORP-MSN-AS-BLOCK,103.4
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,GOOGLE,2.0
4,5.66,208,294.16,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,8.0
7,9.9,337,476.59,2.5,3.54,1.4142,1.4142,1.4142,AMAZON-02,2.8
0.5,0.71,43,60.81,0.5,0.71,1.4142,1.4142,1.4142,Taboola.com ltd,1.0
331,468.1,376029.5,531786.02,1,1.41,1.4142,1.4142,1.4142,Akamai International B.V.,331.0
1.5,2.12,117,165.46,1,1.41,1.4142,1.4142,1.4142,Criteo SA,1.5
1,1.41,71.5,101.12,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,2.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
20.5,28.99,22434,31726.47,0.5,0.71,1.4142,1.4142,1.4142,AKAMAI-AS,41.0
