occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
16,19.8,1614,2074.65,2,1.41,1.2854,1.2374,0.7071,GOOGLE,8.0
4,5.66,2143,3030.66,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,8.0
0.5,0.71,104.5,147.79,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,1.0
1.5,2.12,78,110.31,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,3.0
1,1.41,63,89.1,0.5,0.71,1.4142,1.4142,1.4142,Taboola.com ltd,2.0
8,9.9,465.5,584.78,4,4.24,1.2562,1.2374,1.0607,AMAZON-02,2.0
8,11.31,4295,6074.05,1,1.41,1.4142,1.4142,1.4142,APPLE-ENGINEERING,8.0
1,1.41,91,128.69,1,1.41,1.4142,1.4142,1.4142,Criteo SA,1.0
1,1.41,71.5,101.12,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,2.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
