occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
17.5,12.02,2695.5,3093.59,2.5,0.71,1.1477,0.6869,0.2828,GOOGLE,7.0
12.5,17.68,5971,8444.27,1,1.41,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,12.5
1.5,2.12,250.5,354.26,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,3.0
3,4.24,156,220.62,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,6.0
19.5,27.58,2485,3514.32,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,39.0
13.5,19.09,3756.5,5312.49,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-02,9.0
9,12.73,4907,6939.55,1,1.41,1.4142,1.4142,1.4142,APPLE-ENGINEERING,9.0
11,15.56,725,1025.3,1.5,2.12,1.4142,1.4142,1.4142,Criteo SA,7.3333
6,8.49,673,951.77,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,12.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
