occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
6.5,3.54,1003,1124.3,1,0.0,1.1209,0.5439,0.0,GOOGLE,6.5
4,5.66,208,294.16,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,8.0
1,0.0,318,376.18,1,0.0,1.183,0.0,0.0,AKAMAI-AS,1.0
1,1.41,40,56.57,1,1.41,1.4142,1.4142,1.4142,RUBICONPROJECT,1.0
1,1.41,374,528.92,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,2.0
1,1.41,40,56.57,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,1.0
68.5,88.39,11807.5,12973.29,4,1.41,1.0987,1.2903,0.3536,AMAZON-02,17.125
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,2.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
1,1.41,522,738.22,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,2.0
