occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
112.5,152.03,48489,68054.79,6.5,6.36,1.4035,1.3514,0.9791,GOOGLE,17.3077
5,7.07,760.5,1075.51,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,10.0
3,4.24,1317,1862.52,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,6.0
9,12.73,5123.5,7245.72,1,1.41,1.4142,1.4142,1.4142,FACEBOOK,9.0
19.5,27.58,6651.5,9406.64,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,39.0
234.5,70.0,131828,16363.87,8,7.07,0.1241,0.2985,0.8839,AMAZON-02,29.3125
17.5,24.75,9438.5,13348.05,1,1.41,1.4142,1.4142,1.4142,AKAMAI-AS,17.5
8,11.31,3700.5,5233.3,1,1.41,1.4142,1.4142,1.4142,RUBICONPROJECT,8.0
24,33.94,11272.5,15941.72,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,16.0
10.5,14.85,4277,6048.59,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,21.0
15,21.21,5869,8300.02,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,15.0
5.5,7.78,2597.5,3673.42,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,5.5
5.5,7.78,3301,4668.32,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,11.0
6,8.49,2653,3751.91,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",12.0
5.5,7.78,2236.5,3162.89,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,11.0
2.5,3.54,1284,1815.85,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,5.0
331,468.1,407031,575628.76,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,662.0
8,11.31,4282.5,6056.37,1,1.41,1.4142,1.4142,1.4142,APPLE-ENGINEERING,8.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
5.5,7.78,2667.5,3772.41,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,11.0
