occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
53,43.84,7394.5,7299.46,4,0.0,0.9871,0.8272,0.0,GOOGLE,13.25
9,12.73,4628,6544.98,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,18.0
1.5,2.12,149,210.72,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,3.0
30.5,43.13,13299.5,18808.33,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,61.0
8,11.31,416,588.31,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,16.0
1.5,2.12,84,118.79,0.5,0.71,1.4142,1.4142,1.4142,APPLE-AUSTIN,3.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
4,5.66,208,294.16,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,8.0
13.5,19.09,1988,2811.46,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-02,9.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,AKAMAI-AS,1.0
