occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
10.5,9.19,1277,1439.67,3,0.0,1.1274,0.8755,0.0,GOOGLE,3.5
7.5,2.12,3448.5,1151.88,1.5,0.71,0.334,0.2828,0.4714,MICROSOFT-CORP-MSN-AS-BLOCK,5.0
0.5,0.71,49.5,70.0,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,1.0
3,4.24,156,220.62,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,6.0
1.5,2.12,78,110.31,1,1.41,1.4142,1.4142,1.4142,AKAMAI-AS,1.5
1,1.41,40,56.57,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,2.0
1.5,2.12,84,118.79,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,3.0
6,8.49,240,339.41,1.5,2.12,1.4142,1.4142,1.4142,CLOUDFLARENET,4.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",1.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,1.0
65,91.92,10444.5,14770.75,3.5,4.95,1.4142,1.4142,1.4142,AMAZON-02,18.5714
1.5,2.12,87.5,123.74,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,3.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,2.0
