occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
5.5,7.78,865.5,1224.0,1,1.41,1.4142,1.4142,1.4142,GOOGLE,5.5
5.5,6.36,2197,3050.46,1.5,0.71,1.3885,1.1571,0.4714,MICROSOFT-CORP-MSN-AS-BLOCK,3.6667
1,1.41,181.5,256.68,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,2.0
1.5,2.12,91.5,129.4,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,3.0
4,5.66,208,294.16,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,8.0
71.5,4.95,26881.5,20841.97,3.5,3.54,0.7753,0.0692,1.0102,AMAZON-02,20.4286
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
1.5,2.12,78,110.31,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,3.0
5,7.07,200,282.84,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,10.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,2.0
13,18.38,1663.5,2352.54,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,26.0
