occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
104.5,136.47,43173,60217.21,4.5,3.54,1.3948,1.3059,0.7857,GOOGLE,23.2222
2.5,3.54,447,632.15,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,5.0
35,49.5,10100.5,14284.26,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,70.0
11.5,16.26,5914,8363.66,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,23.0
12,16.97,6220,8796.41,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,24.0
2.5,3.54,1594.5,2254.96,1,1.41,1.4142,1.4142,1.4142,AKAMAI-AS,2.5
180.5,51.62,99401.5,19099.66,8,5.66,0.1921,0.286,0.7071,AMAZON-02,22.5625
4,5.66,2031,2872.27,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,8.0
6,8.49,2546,3600.59,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,12.0
15.5,21.92,5891,8331.13,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,15.5
3,4.24,1540,2177.89,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,3.0
19,26.87,8875,12551.15,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,12.6667
2,2.83,775,1096.02,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",4.0
3,4.24,383,541.64,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,6.0
1.5,2.12,1222,1728.17,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,3.0
2,2.83,639.5,904.39,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,4.0
7,9.9,4230,5982.12,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,14.0
7.5,10.61,2769,3915.96,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,15.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
