occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
10.5,0.71,1288,661.85,3,1.41,0.5139,0.0673,0.4714,GOOGLE,3.5
1.5,2.12,349,493.56,0.5,0.71,1.4142,1.4142,1.4142,Virgin Media Limited,3.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
0.5,0.71,20,28.28,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,1.0
87,114.55,20803.5,28740.36,6,2.83,1.3815,1.3167,0.4714,AMAZON-02,14.5
22,22.63,6653,8974.6,1.5,0.71,1.349,1.0285,0.4714,AKAMAI-AS,14.6667
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,1.0
5.5,7.78,2154.5,3046.92,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,11.0
1,1.41,113.5,160.51,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,2.0
0.5,0.71,20,28.28,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,1.0
140.5,198.7,189526,268030.24,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,281.0
2,2.83,150,212.13,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,2.0
3.5,4.95,159.5,225.57,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,3.5
2,0.0,247,137.18,1,0.0,0.5554,0.0,0.0,AMAZON-AES,2.0
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,4.0
