occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
1,1.41,182,257.39,0.5,0.71,1.4142,1.4142,1.4142,Virgin Media Limited,2.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
1,1.41,61,86.27,1,1.41,1.4142,1.4142,1.4142,APPLE-ENGINEERING,1.0
0.5,0.71,20,28.28,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,1.0
12,16.97,3307.5,4677.51,1.5,2.12,1.4142,1.4142,1.4142,GOOGLE,8.0
6.5,9.19,338,478.0,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,13.0
2,2.83,107.5,152.03,0.5,0.71,1.4142,1.4142,1.4142,AKAMAI-AS,4.0
56.5,74.25,24725.5,34617.83,3.5,0.71,1.4001,1.3141,0.202,AMAZON-02,16.1429
2.5,3.54,100,141.42,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,5.0
22,31.11,2913.5,4120.31,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,44.0
