occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
102.5,144.96,46818,66210.65,4.5,6.36,1.4142,1.4142,1.4142,GOOGLE,22.7778
6,8.49,785.5,1110.86,0.5,0.71,1.4142,1.4142,1.4142,Virgin Media Limited,12.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
4,5.66,2294,3244.21,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,8.0
3.5,4.95,1566.5,2215.37,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,3.5
25.5,36.06,13810.5,19531.0,2,2.83,1.4142,1.4142,1.4142,AKAMAI-AS,12.75
14.5,20.51,6360.5,8995.11,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,29.0
30.5,43.13,13231,18711.46,1,1.41,1.4142,1.4142,1.4142,FACEBOOK,30.5
152.5,45.96,78779.5,12751.26,6,5.66,0.1619,0.3014,0.9428,AMAZON-02,25.4167
5.5,7.78,2237,3163.6,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,11.0
6.5,9.19,3640.5,5148.44,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,13.0
6,8.49,2653.5,3752.62,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",12.0
4.5,6.36,2471.5,3495.23,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,9.0
19.5,27.58,8905,12593.57,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,13.0
148.5,210.01,190019.5,268728.15,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,297.0
14.5,20.51,5843,8263.25,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,14.5
6,8.49,3327.5,4705.8,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,12.0
4.5,6.36,2617,3701.0,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,9.0
4,5.66,2504,3541.19,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,8.0
