occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
9.5,0.71,600,130.11,3.5,0.71,0.2168,0.0744,0.202,GOOGLE,2.7143
1.5,2.12,209,295.57,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,3.0
1.5,2.12,658.5,931.26,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,3.0
6.5,9.19,2382,3368.66,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,13.0
4.5,6.36,234,330.93,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,9.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,AKAMAI-AS,1.0
1,1.41,59.5,84.15,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,1.0
1.5,2.12,84,118.79,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,3.0
1,1.41,75,106.07,0.5,0.71,1.4142,1.4142,1.4142,AS-PUBMATIC,2.0
71.5,99.7,12127.5,17012.28,3,2.83,1.4028,1.3944,0.9428,AMAZON-02,23.8333
1.5,2.12,87.5,123.74,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,3.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,2.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
0.5,0.71,49,69.3,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,1.0
