occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
92,114.55,43892,58108.62,5,5.66,1.3239,1.2451,1.1314,GOOGLE,18.4
5,7.07,670.5,948.23,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,10.0
223.5,259.51,88897,105470.63,8.5,9.19,1.1864,1.1611,1.0815,AMAZON-02,26.2941
8,11.31,5062,7158.75,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,16.0
3.5,4.95,1566,2214.66,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,3.5
16,22.63,6446.5,9116.73,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,32.0
18.5,26.16,9503.5,13439.98,1,1.41,1.4142,1.4142,1.4142,AKAMAI-AS,18.5
8,11.31,3690,5218.45,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,16.0
6,8.49,2653,3751.91,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",12.0
6.5,9.19,2576,3643.01,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,13.0
16,22.63,5918.5,8370.02,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,16.0
5.5,7.78,2236.5,3162.89,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,11.0
19,26.87,8879,12556.8,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,12.6667
6,8.49,3328,4706.5,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,12.0
7.5,10.61,2773,3921.61,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,15.0
2,2.83,1252,1770.6,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,4.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
