occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
16.5,19.09,1893.5,2380.83,3,1.41,1.2574,1.1571,0.4714,GOOGLE,5.5
11.5,16.26,5356,7574.53,1,1.41,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,11.5
2,2.83,262,370.52,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,4.0
16,22.63,5937,8396.19,1,1.41,1.4142,1.4142,1.4142,FACEBOOK,16.0
9,12.73,1560,2206.17,1,1.41,1.4142,1.4142,1.4142,EDGECAST,9.0
4,5.66,220,311.13,0.5,0.71,1.4142,1.4142,1.4142,APPLE-AUSTIN,8.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
10,14.14,5286,7475.53,1,1.41,1.4142,1.4142,1.4142,APPLE-ENGINEERING,10.0
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-02,4.0
4,5.66,208,294.16,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,8.0
6.5,9.19,2212,3128.24,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,13.0
2,2.83,111.5,157.68,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,4.0
