occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
11,4.24,1201.5,1110.86,3,2.83,0.9246,0.3857,0.9428,GOOGLE,3.6667
1,1.41,153.5,217.08,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,2.0
1.5,2.12,79.5,112.43,1.5,2.12,1.4142,1.4142,1.4142,CLOUDFLARENET,1.0
6.5,9.19,338,478.0,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,13.0
1.5,0.71,78,36.77,1,0.0,0.4714,0.4714,0.0,AKAMAI-AS,1.5
2,2.83,110,155.56,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,4.0
1,1.41,75,106.07,0.5,0.71,1.4142,1.4142,1.4142,AS-PUBMATIC,2.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",1.0
1,1.41,40,56.57,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,2.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,1.0
77.5,106.77,13141,18372.05,4,2.83,1.3981,1.3777,0.7071,AMAZON-02,19.375
1.5,2.12,87.5,123.74,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,3.0
0.5,0.71,20,28.28,0.5,0.71,1.4142,1.4142,1.4142,COGENT-174,1.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
0.5,0.71,49,69.3,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,1.0
4,5.66,208,294.16,0.5,0.71,1.4142,1.4142,1.4142,LLNW,8.0
