occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
3.5,4.95,511,722.66,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,7.0
86.5,122.33,37546.5,53098.77,4,5.66,1.4142,1.4142,1.4142,GOOGLE,21.625
14.5,20.51,7909.5,11185.72,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,29.0
3.5,4.95,1565,2213.24,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,3.5
17,24.04,6898.5,9755.95,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,34.0
188,162.63,76945.5,63032.21,8,7.07,0.8192,0.8651,0.8839,AMAZON-02,23.5
10,14.14,4729.5,6688.52,1,1.41,1.4142,1.4142,1.4142,AKAMAI-AS,10.0
3,4.24,382.5,540.94,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,6.0
6.5,9.19,2576.5,3643.72,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,13.0
15.5,21.92,5894,8335.37,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,15.5
5.5,7.78,2623,3709.48,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",11.0
5,7.07,2100.5,2970.56,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,10.0
2,2.83,1252,1770.6,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,4.0
5.5,7.78,3297.5,4663.37,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,11.0
7.5,10.61,2773,3921.61,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,15.0
2.5,3.54,468,661.85,0.5,0.71,1.4142,1.4142,1.4142,COGENT-174,5.0
50.5,71.42,60324.5,85311.73,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,101.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
12,16.97,5550.5,7849.59,1,1.41,1.4142,1.4142,1.4142,AMAZON-AES,12.0
