occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
21.5,27.58,3530,4788.53,3,2.83,1.3565,1.2827,0.9428,GOOGLE,7.1667
2.5,3.54,363.5,514.07,0.5,0.71,1.4142,1.4142,1.4142,Jisc Services Limited,5.0
7,9.9,2721,3848.08,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,14.0
15.5,21.92,6380.5,9023.39,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,31.0
10.5,14.85,546,772.16,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,21.0
1.5,2.12,103.5,146.37,0.5,0.71,1.4142,1.4142,1.4142,STACKPATH-CDN,3.0
1,1.41,79,111.72,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,2.0
2.5,0.71,195.5,129.4,2,1.41,0.6619,0.2828,0.7071,AMAZON-02,1.25
20.5,9.19,8645,258.8,1,0.0,0.0299,0.4484,0.0,APPLE-ENGINEERING,20.5
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
10.5,14.85,570,806.1,0.5,0.71,1.4142,1.4142,1.4142,LLNW,21.0
