occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
3.5,4.95,221.5,313.25,2.5,3.54,1.4142,1.4142,1.4142,GOOGLE,1.4
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
5.5,7.78,286,404.47,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,11.0
73,100.41,10906.5,15211.99,5,4.24,1.3948,1.3755,0.8485,AMAZON-02,14.6
2,1.41,104,73.54,1.5,0.71,0.7071,0.7071,0.4714,AKAMAI-AS,1.3333
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,4.0
1.5,2.12,79.5,112.43,1.5,2.12,1.4142,1.4142,1.4142,CLOUDFLARENET,1.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",1.0
1,1.41,75,106.07,0.5,0.71,1.4142,1.4142,1.4142,AS-PUBMATIC,2.0
0.5,0.71,49,69.3,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,1.0
3,4.24,156,220.62,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,6.0
2,2.83,107.5,152.03,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,4.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,2.0
