occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
110.5,156.27,47810,67613.55,4.5,6.36,1.4142,1.4142,1.4142,GOOGLE,24.5556
8,11.31,1206.5,1706.25,0.5,0.71,1.4142,1.4142,1.4142,Virgin Media Limited,16.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
18.5,26.16,6585,9312.6,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,37.0
15,21.21,6746,9540.28,1,1.41,1.4142,1.4142,1.4142,FACEBOOK,15.0
349.5,127.99,322694,283513.05,9,4.24,0.8786,0.3662,0.4714,AMAZON-02,38.8333
20.5,28.99,11915.5,16851.06,1.5,2.12,1.4142,1.4142,1.4142,AKAMAI-AS,13.6667
6.5,9.19,3630,5133.6,1,1.41,1.4142,1.4142,1.4142,RUBICONPROJECT,6.5
4.5,6.36,2471.5,3495.23,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,9.0
3.5,4.95,1566,2214.66,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,3.5
1,1.41,60,84.85,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,2.0
15.5,21.92,5893.5,8334.67,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,15.5
5.5,7.78,2627,3715.14,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",11.0
5.5,7.78,2236.5,3162.89,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,11.0
18.5,26.16,8853,12520.03,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,12.3333
4,5.66,2504,3541.19,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,8.0
5,7.07,2643,3737.77,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,10.0
6,8.49,3361.5,4753.88,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,12.0
