occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
10,9.9,1170.5,1390.88,2,0.0,1.1883,0.9899,0.0,GOOGLE,5.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
1,1.41,40,56.57,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,1.0
18,25.46,4222.5,5971.52,2,2.83,1.4142,1.4142,1.4142,AKAMAI-AS,9.0
5.5,7.78,286,404.47,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,11.0
63,33.94,30272.5,30773.99,4.5,2.12,1.0166,0.5387,0.4714,AMAZON-02,14.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",1.0
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,4.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,2.0
0.5,0.71,30.5,43.13,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,1.0
1,1.41,40,56.57,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,2.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,Virgin Media Limited,1.0
1.5,2.12,87.5,123.74,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,3.0
