occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
99.5,139.3,44349.5,62646.13,5,5.66,1.4126,1.4,1.1314,GOOGLE,19.9
4.5,6.36,628.5,888.83,0.5,0.71,1.4142,1.4142,1.4142,Virgin Media Limited,9.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
323,171.12,304283,304784.24,7.5,4.95,1.0016,0.5298,0.66,AMAZON-02,43.0667
3.5,4.95,1565.5,2213.95,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,3.5
13.5,19.09,6633.5,9381.19,2,2.83,1.4142,1.4142,1.4142,AKAMAI-AS,6.75
17.5,24.75,6528.5,9232.69,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,35.0
13.5,19.09,6041.5,8543.97,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,27.0
5.5,7.78,3298,4664.08,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,11.0
5.5,7.78,2623,3709.48,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",11.0
4.5,6.36,2471.5,3495.23,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,9.0
4,5.66,2504,3541.19,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,8.0
14.5,20.51,5842.5,8262.54,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,14.5
18.5,26.16,8853,12520.03,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,12.3333
4,5.66,2050,2899.14,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,8.0
3,4.24,383,541.64,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,6.0
5,7.07,2642.5,3737.06,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,10.0
