occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
3,1.41,171.5,51.62,1,0.0,0.301,0.4714,0.0,GOOGLE,3.0
3.5,4.95,343.5,485.78,1.5,2.12,1.4142,1.4142,1.4142,Virgin Media Limited,2.3333
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
4,5.66,2294,3244.21,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,8.0
16,22.63,4105.5,5806.05,2,2.83,1.4142,1.4142,1.4142,AKAMAI-AS,8.0
7.5,10.61,390,551.54,1,1.41,1.4142,1.4142,1.4142,EDGECAST,7.5
52,73.54,4969.5,7027.93,5,7.07,1.4142,1.4142,1.4142,AMAZON-02,10.4
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,4.0
2,2.83,80,113.14,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,2.0
22,31.11,11428.5,16162.34,1.5,2.12,1.4142,1.4142,1.4142,APPLE-ENGINEERING,14.6667
0.5,0.71,41.5,58.69,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,1.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",1.0
1.5,2.12,60,84.85,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,3.0
2,2.83,107.5,152.03,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,4.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,LEVEL3,2.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,LLNW,2.0
