occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
2,2.83,139.5,197.28,1,1.41,1.4142,1.4142,1.4142,GOOGLE,2.0
3,4.24,1664.5,2353.96,1.5,2.12,1.4142,1.4142,1.4142,Virgin Media Limited,2.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
209.5,290.62,209121.5,295516.19,3,1.41,1.4131,1.3872,0.4714,MICROSOFT-CORP-MSN-AS-BLOCK,69.8333
3,4.24,156,220.62,1,1.41,1.4142,1.4142,1.4142,EDGECAST,3.0
8.5,12.02,4317,6105.16,1.5,2.12,1.4142,1.4142,1.4142,APPLE-ENGINEERING,5.6667
2.5,0.71,130,36.77,1.5,0.71,0.2828,0.2828,0.4714,AMAZON-02,1.6667
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,LLNW,2.0
13,18.38,15507.5,21930.92,0.5,0.71,1.4142,1.4142,1.4142,Akamai International B.V.,26.0
1,1.41,52,73.54,0.5,0.71,1.4142,1.4142,1.4142,LEVEL3,2.0
