occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
7.5,10.61,485.5,686.6,2,2.83,1.4142,1.4142,1.4142,GOOGLE,3.75
2,2.83,235,332.34,1,1.41,1.4142,1.4142,1.4142,Virgin Media Limited,2.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
4,5.66,2294,3244.21,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,8.0
1.5,2.12,136.5,193.04,1,1.41,1.4142,1.4142,1.4142,Yahoo! UK Services Limited,1.5
3,2.83,175.5,119.5,1.5,0.71,0.6809,0.9428,0.4714,EDGECAST,2.0
1,1.41,60,84.85,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,2.0
7.5,10.61,3520,4978.03,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,15.0
7.5,7.78,475,524.67,4,2.83,1.1046,1.0371,0.7071,AMAZON-02,1.875
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,LLNW,1.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,LEVEL3,1.0
1,1.41,71.5,101.12,0.5,0.71,1.4142,1.4142,1.4142,YAHOO-BCST-AC2,2.0
0.5,0.71,49,69.3,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,1.0
1,1.41,71.5,101.12,0.5,0.71,1.4142,1.4142,1.4142,YAHOO,2.0
