occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
103,145.66,47139,66664.61,4,5.66,1.4142,1.4142,1.4142,GOOGLE,25.75
6,8.49,800,1131.37,0.5,0.71,1.4142,1.4142,1.4142,Virgin Media Limited,12.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
32.5,45.96,16635.5,23526.15,2,2.83,1.4142,1.4142,1.4142,AKAMAI-AS,16.25
15,21.21,6395,9043.9,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,30.0
2,2.83,702,992.78,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,4.0
12.5,17.68,5971.5,8444.98,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,25.0
327,121.62,286445,248659.76,7,5.66,0.8681,0.3719,0.8081,AMAZON-02,46.7143
5,7.07,2206.5,3120.46,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,10.0
6,8.49,3327,4705.09,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,12.0
4.5,6.36,2471.5,3495.23,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,9.0
3.5,4.95,1565.5,2213.95,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,3.5
15,21.21,5868.5,8299.31,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,15.0
6,8.49,2651.5,3749.79,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",12.0
6.5,9.19,3806.5,5383.2,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,13.0
19,26.87,8879,12556.8,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,12.6667
4,5.66,2504,3541.19,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,8.0
4.5,6.36,2616.5,3700.29,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,9.0
