occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
18.5,2.12,1964.5,999.14,3,1.41,0.5086,0.1147,0.4714,GOOGLE,6.1667
9,12.73,1245,1760.7,1,1.41,1.4142,1.4142,1.4142,Virgin Media Limited,9.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
4,5.66,2294,3244.21,0.5,0.71,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,8.0
735,342.24,904330.5,526520.9,2.5,0.71,0.5822,0.4656,0.2828,Yahoo! UK Services Limited,294.0
256,89.1,321281.5,192977.22,3.5,2.12,0.6006,0.348,0.6061,EDGECAST,73.1429
14,16.97,4679.5,6445.28,2.5,2.12,1.3773,1.2122,0.8485,APPLE-ENGINEERING,5.6
3,2.83,173,127.28,1,0.0,0.7357,0.9428,0.0,FACEBOOK,3.0
129,50.91,126815.5,119967.03,4.5,0.71,0.946,0.3947,0.1571,AMAZON-02,28.6667
1,1.41,71.5,101.12,0.5,0.71,1.4142,1.4142,1.4142,FASTLY,2.0
1,1.41,59.5,84.15,0.5,0.71,1.4142,1.4142,1.4142,CLOUDFLARENET,2.0
10,14.14,3441,4866.31,0.5,0.71,1.4142,1.4142,1.4142,AKAMAI-AS,20.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,LEVEL3,1.0
1,1.41,98,138.59,1,1.41,1.4142,1.4142,1.4142,SOFTLAYER,1.0
5.5,7.78,3333.5,4714.28,0.5,0.71,1.4142,1.4142,1.4142,YAHOO-CHA,11.0
11.5,16.26,4535.5,6414.17,1,1.41,1.4142,1.4142,1.4142,Internet content provider,11.5
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,LLNW,1.0
5,7.07,998,1411.39,0.5,0.71,1.4142,1.4142,1.4142,Internet Content Provider,10.0
5.5,7.78,3322.5,4698.72,0.5,0.71,1.4142,1.4142,1.4142,YAHOO-1,11.0
