occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
2.5,3.54,407.5,576.29,0.5,0.71,1.4142,1.4142,1.4142,Virgin Media Limited,5.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
32,36.77,14976.5,15248.76,1,0.0,1.0182,1.149,0.0,MICROSOFT-CORP-MSN-AS-BLOCK,32.0
11,15.56,7178.5,10151.93,0.5,0.71,1.4142,1.4142,1.4142,APPLE-ENGINEERING,22.0
67,35.36,6132.5,4792.06,3,0.0,0.7814,0.5277,0.0,AMAZON-02,22.3333
1,1.41,40,56.57,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,1.0
13,15.56,4375.5,6040.81,2,0.0,1.3806,1.1966,0.0,AKAMAI-AS,6.5
4,5.66,208,294.16,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,8.0
0.5,0.71,49,69.3,0.5,0.71,1.4142,1.4142,1.4142,AMAZON-AES,1.0
2,2.83,104,147.08,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,4.0
1,1.41,75,106.07,0.5,0.71,1.4142,1.4142,1.4142,AS-PUBMATIC,2.0
1,1.41,71.5,101.12,0.5,0.71,1.4142,1.4142,1.4142,GOOGLE,2.0
0.5,0.71,26,36.77,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",1.0
0.5,0.71,20,28.28,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,1.0
2,2.83,113.5,160.51,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,4.0
