occurrences_mean,occurrences_std,bytes_mean,bytes_std,server_mean,server_std,bytes_co_var,occurrences_co_var,server_co_var,org,occurPerServer
106,137.18,47063,65718.5,4.5,3.54,1.3964,1.2941,0.7857,GOOGLE,23.5556
11.5,16.26,1789.5,2530.74,0.5,0.71,1.4142,1.4142,1.4142,Virgin Media Limited,23.0
0,0.0,0,0.0,0,0.0,-1.0,-1.0,-1.0,,0.0
156.5,221.32,82101.5,116109.05,2,2.83,1.4142,1.4142,1.4142,MICROSOFT-CORP-MSN-AS-BLOCK,78.25
268.5,57.28,235529,171118.43,7,5.66,0.7265,0.2133,0.8081,AMAZON-02,38.3571
3.5,4.95,1566.5,2215.37,1,1.41,1.4142,1.4142,1.4142,CLOUDFLARENET,3.5
18.5,4.95,11434.5,4131.62,1.5,0.71,0.3613,0.2676,0.4714,APPLE-ENGINEERING,12.3333
48.5,68.59,25361.5,35866.58,2.5,3.54,1.4142,1.4142,1.4142,AKAMAI-AS,19.4
17.5,24.75,6529,9233.4,0.5,0.71,1.4142,1.4142,1.4142,EDGECAST,35.0
13,18.38,6002.5,8488.82,0.5,0.71,1.4142,1.4142,1.4142,FACEBOOK,26.0
18.5,26.16,8853,12520.03,1.5,2.12,1.4142,1.4142,1.4142,AMAZON-AES,12.3333
4.5,6.36,2471.5,3495.23,0.5,0.71,1.4142,1.4142,1.4142,Netic A/S,9.0
16,22.63,5920.5,8372.85,1,1.41,1.4142,1.4142,1.4142,AS-PUBMATIC,16.0
6,8.49,2653,3751.91,0.5,0.71,1.4142,1.4142,1.4142,"SpotXchange, INC",12.0
6.5,9.19,3640.5,5148.44,0.5,0.71,1.4142,1.4142,1.4142,RUBICONPROJECT,13.0
5.5,7.78,2237.5,3164.3,0.5,0.71,1.4142,1.4142,1.4142,TWITTER,11.0
4,5.66,2504,3541.19,0.5,0.71,1.4142,1.4142,1.4142,SUCURI-SEC,8.0
6,8.49,3327.5,4705.8,0.5,0.71,1.4142,1.4142,1.4142,Adform A/S,12.0
4.5,6.36,2617,3701.0,0.5,0.71,1.4142,1.4142,1.4142,ASN-APPNEX,9.0
